translation_code_id,language_id,translation,version
1,1,"year",0
1,2,"anno",0

2,1,"years",0
2,2,"anni",0

3,1,"month",0
3,2,"mese",0

4,1,"months",0
4,2,"mesi",0

5,1,"match",0
5,2,"corrispondenza",0

6,1,"matches",0
6,2,"corrispondenze",0

7,1,"Back-end technologies frequency",0
7,2,"Frequenza tecnologie lato back-end",0

8,1,"Front-end technologies frequency",0
8,2,"Frequenza Tecnologie lato front-end",0

9,1,"Front-end experience",0
9,2,"Esperienza con il front-end",0

10,1,"Back-end experience",0
10,2,"Esperienza con il back-end",0

11,1,"Back-end developer role",0
11,2,"Ruolo da back-end developer",0

12,1,"Front-end develoepr role",0
12,2,"Ruolo da front-end developer",0

13,1,"today",0
13,2,"oggi",0
